"scientificName","acceptedNameUsage","kingdom","phylum","subphylum","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","nomenclaturalCode","reviewed","reviewedBy","reviewDate","accepted","whyNotAccepted"
"Microcebus margotmarshae","Microcebus margotmarshae","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"CHEIROGALEIDAE",,"Microcebus",,"margotmarshae",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Microcebus mittermeieri","Microcebus mittermeieri","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"mittermeieri",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus murinus","Microcebus murinus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"murinus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus myoxinus","Microcebus myoxinus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"myoxinus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus ravelobensis","Microcebus ravelobensis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"ravelobensis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus rufus","Microcebus rufus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"rufus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus sambiranensis","Microcebus sambiranensis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"sambiranensis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus simmonsi","Microcebus simmonsi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"simmonsi",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus tavaratra","Microcebus tavaratra","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"tavaratra",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Mirza coquereli","Mirza coquereli","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Mirza",,"coquereli",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Mirza zaza","Mirza zaza","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Mirza",,"zaza",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Phaner electromontis","Phaner electromontis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Phaner",,"electromontis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Phaner furcifer","Phaner furcifer","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Phaner",,"furcifer",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Phaner pallescens","Phaner pallescens","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Phaner",,"pallescens",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Phaner parienti","Phaner parienti","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Phaner",,"parienti",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Prolemur simus","Prolemur simus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Prolemur",,"simus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Propithecus candidus","Propithecus candidus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Propithecus",,"candidus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Propithecus coquereli","Propithecus coquereli","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Propithecus",,"coquereli",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Propithecus coronatus","Propithecus coronatus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Propithecus",,"coronatus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Propithecus deckenii","Propithecus deckenii","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Propithecus",,"deckenii",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Propithecus diadema","Propithecus diadema","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Propithecus",,"diadema",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Propithecus edwardsi","Propithecus edwardsi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Propithecus",,"edwardsi",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Propithecus perrieri","Propithecus perrieri","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Propithecus",,"perrieri",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Propithecus tattersalli","Propithecus tattersalli","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Propithecus",,"tattersalli",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Propithecus verreauxi","Propithecus verreauxi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Propithecus",,"verreauxi",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Varecia rubra","Varecia rubra","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Varecia",,"rubra",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Varecia variegata editorum","Varecia variegata editorum","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Varecia",,"variegata","editorum","Subspecies","ICZN",-1,"Rodin Rasoloarison","2012-06-13",-1,
"Varecia variegata subcincta","Varecia variegata subcincta","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Varecia",,"variegata","subcincta","Subspecies","ICZN",-1,"Rodin Rasoloarison","2012-06-13",-1,
"Varecia variegata variegata","Varecia variegata variegata","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Varecia",,"variegata","variegata","Subspecies","ICZN",-1,"Rodin Rasoloarison","2012-06-13",-1,
